Tanımlayıcı;Seviye;Sınıflar;Standart;Açıklama;Kavram;Alt_Kavram;Uygulama;Alt Uygulama-1;Alt Uygulama-2;Alt Uygulama-3
1A-CS-01;1A;K-2;Çeşitli görevleri yerine getirmek için uygun yazılımı seçin ve çalıştırın ve kullanıcıların kullandıkları teknoloji için farklı ihtiyaç ve tercihlere sahip olduğunu anlayın.;İnsanlar bilişim cihazlarını çeşitli görevleri doğru ve hızlı bir şekilde yerine getirmek için kullanırlar. Öğrenciler, tamamlamaları gereken görevler için kullanılacak uygun uygulamayı/programı seçebilmelidir. Örneğin, öğrencilerden bir resim çizmeleri istenirse, bu görevi tamamlamak için bir çizim uygulamasını/programını açıp kullanabilmeli veya bir sunum hazırlamaları istenirse, sunum yazılımını açıp kullanabilmelidirler. Ek olarak, öğretmen rehberliğinde öğrenciler, aynı temel işlevselliğe sahip yazılımlar için tercihleri karşılaştırmalı ve tartışmalıdır. Öğrenciler farklı web tarayıcılarını veya kelime işlem, sunum veya çizim programlarını karşılaştırabilirler.;Bilişim Sistemleri;Cihazlar;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;P1.1 – Farklı bakış açılarını dahil etme ve kendi bakış açısını değerlendirme;;
1A-CS-02;1A;K-2;Bilişim sistemlerinin (donanım) yaygın fiziksel bileşenlerinin işlevini belirlemede ve açıklamada uygun terminolojiyi kullanın.;Bir bilişim sistemi donanım ve yazılımdan oluşur. Donanım fiziksel bileşenlerden oluşur. Öğrenciler masaüstü bilgisayarlar, dizüstü bilgisayarlar, tablet cihazlar, monitörler, klavyeler, fareler ve yazıcılar gibi harici donanımların işlevini belirleyebilmeli ve açıklayabilmelidir.;Bilişim Sistemleri;Donanım ve Yazılım;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
1A-CS-03;1A;K-2;Temel donanım ve yazılım sorunlarını doğru terminoloji kullanarak açıklayın.;Bilişim sistemleriyle ilgili sorunların farklı nedenleri vardır. Bu seviyedeki öğrencilerin bu nedenleri anlamalarına gerek yoktur, ancak bir sorunu doğru terminolojiyle iletebilmelidirler (örneğin, bir uygulama veya program beklendiği gibi çalışmadığında, bir cihaz açılmadığında, ses çalışmadığında vb.). İdeal olarak, öğrenciler bir cihazı yeniden başlatmak için kapatıp açmak, bir uygulamayı kapatıp yeniden açmak, hoparlörleri açmak veya kulaklıkları takmak dahil olmak üzere basit sorun giderme stratejilerini kullanabilmelidir. Ancak bunlar standartta belirtilmemiştir, çünkü bu sorunlar her zaman ortaya çıkmayabilir.;Bilişim Sistemleri;Sorun Giderme;Bilişimsel Eserleri Test Etme ve İyileştirme, Bilişim Hakkında İletişim Kurmak;P6.2 – Hataları sistematik biçimde belirleme ve düzeltme;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;
1A-NI-04;1A;K-2;Şifrelerin ne olduğunu ve neden kullandığımızı açıklayın ve cihazları ve bilgileri yetkisiz erişimden korumak için güçlü şifreler kullanın.;Birinin cihazını veya bilgilerini başkalarının istenmeyen kullanımından korumayı öğrenmek, siber güvenlik hakkında bilgi edinmede önemli bir ilk adımdır. Öğrencilerin birden fazla güçlü şifre kullanmaları gerekmez. Kullanmaları gereken şifreleri uygun şekilde kullanmalı ve korumalıdırlar.;Ağlar ve İnternet;Siber Güvenlik;Bilişim Hakkında İletişim Kurmak;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;;
1A-DA-05;1A;K-2;Bir bilişim cihazı kullanarak bilgileri depolayın, kopyalayın, arayın, alın, değiştirin ve silin ve depolanan bilgileri veri olarak tanımlayın.;Bir bilişim cihazı tarafından depolanan ve işlenen tüm bilgiler veri olarak adlandırılır. Veriler resimler, metin belgeleri, ses dosyaları, yazılım programları veya uygulamaları, video dosyaları vb. olabilir. Öğrenciler bir bilişim cihazında görevleri tamamlamak için yazılımı kullandıkça verileri manipüle edeceklerdir.;Veri ve Analiz;Depolama;Soyutlamalar Geliştirmek ve Kullanmak;P4.2 – Mevcut teknolojik işlevleri değerlendirip yeni tasarımlara dahil etme;;
1A-DA-06;1A;K-2;Aynı verileri toplayın ve çeşitli görsel formatlarda sunun.;Etrafındaki dünya hakkında veri toplamak ve kullanmak hayatın rutin bir parçasıdır ve insanların nasıl yaşadığını etkiler. Öğrenciler, güneşli günlere karşı yağmurlu günler, okul gününün başındaki sıcaklığa karşı okul gününün sonundaki sıcaklık veya bir fırtına sırasında yağan yağmur miktarı gibi hava durumu verilerini toplayabilir. Öğrenciler, Skittles veya M&M's gibi bir şeker paketindeki her renkten şeker sayısını sayabilir. Öğrenciler en sevdikleri yiyecekler, evcil hayvanlar veya TV şovları gibi ilgilerini çeken konularda anketler oluşturabilir ve akranlarından ve diğerlerinden anketlerine cevap toplayabilirler. Toplanan veriler daha sonra çubuk grafik, pasta grafik veya piktogram gibi iki veya daha fazla görselleştirme şeklinde düzenlenebilir.;Veri ve Analiz;Toplama Görselleştirme ve Dönüştürme;Bilişim Hakkında İletişim Kurmak, Soyutlamalar Geliştirmek ve Kullanmak;P7.1 – Farklı kaynaklardan gelen büyük veri kümelerini seçme, düzenleme ve yorumlayarak bir iddiayı destekleme;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;
1A-DA-07;1A;K-2;Tahminlerde bulunmak için çizelgeler veya grafikler gibi veri görselleştirmelerindeki kalıpları tanımlayın ve açıklayın.;Veriler dünya hakkında çıkarımlar veya tahminler yapmak için kullanılabilir. Öğrenciler bir şeker paketindeki renklerin veya birden fazla şeker paketindeki renklerin ortalamalarının bir grafiğini veya pasta grafiğini analiz edebilir, hangi renklerin en çok ve en az temsil edildiğine dair kalıpları belirleyebilir ve ardından yeni bir şeker paketinde hangi renklerin en çok ve en az olacağına dair bir tahminde bulunabilir. Öğrenciler okul gününün başındaki ve okul gününün sonundaki sıcaklıkların grafiklerini analiz edebilir, sıcaklıkların ne zaman yükselip düştüğüne dair kalıpları belirleyebilir ve gözlemlenen kalıba dayanarak günün belirli bir saatinde sıcaklığın yükselip düşmeyeceğini tahmin edebilir.;Veri ve Analiz;Çıkarım ve Modeller;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
1A-AP-08;1A;K-2;Görevleri tamamlamak için algoritmalar (adım adım talimat setleri) oluşturarak ve izleyerek günlük süreçleri modelleyin.;Kompozisyon, daha küçük görevlerin daha karmaşık görevler halinde birleştirilmesidir. Öğrenciler basit yiyecekler yapmak, dişlerini fırçalamak, okula hazırlanmak, temizlik zamanına katılmak için algoritmalar oluşturabilir ve izleyebilir.;Algoritmalar ve Programlama;Algoritmalar;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
1A-AP-09;1A;K-2;Bilgileri temsil etmek için sayıları veya diğer sembolleri kullanarak programların verileri nasıl depoladığını ve manipüle ettiğini modelleyin.;Gerçek dünyadaki bilgiler bilgisayar programlarında temsil edilebilir. Öğrenciler evet/hayır temsili olarak başparmak yukarı/aşağı işaretini kullanabilir, algoritmalar yazarken yönü belirtmek için okları kullanabilir veya harfleri veya kelimeleri temsil etmek için sayılar, piktogramlar veya diğer sembolleri kullanarak kelimeleri kodlayabilir ve çözebilir.;Algoritmalar ve Programlama;Değişkenler;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
1A-AP-10;1A;K-2;Fikirleri ifade etmek veya bir sorunu çözmek için diziler ve basit döngüler içeren programlar geliştirin.;Programlama, çok çeşitli ilgi alanlarını yansıtan ürünler oluşturmak için bir araç olarak kullanılır. Kontrol yapıları, bir program içindeki talimatların yürütülme sırasını belirler. Diziler, bir programdaki talimatların sırasıdır. Örneğin, basit bir animasyonlu hikaye programlanırken diyalog doğru şekilde sıralanmazsa hikaye mantıklı olmaz. Bir robotu programlama komutları doğru sırada değilse, robot istenen görevi tamamlamaz. Döngüler, bir kod dizisinin birden çok kez tekrarlanmasına izin verir. Örneğin, bir kelebeğin yaşam döngüsünü gösteren bir programda, karakterin sürekli ancak kontrollü hareket etmesini sağlamak için bir döngü hareket komutlarıyla birleştirilebilir.;Algoritmalar ve Programlama;Kontrol;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
